iter	RMSE
0	5.776536087
1	5.629424508
2	5.486826463
3	5.349113912
4	5.219126937
5	5.090974941
6	4.969301658
7	4.85200905
8	4.735972363
9	4.624102173
10	4.517682632
11	4.414556467
12	4.316471964
13	4.219923684
14	4.127140078
15	4.037716879
16	3.95362171
17	3.871232963
18	3.792008366
19	3.717092705
20	3.643600949
21	3.573823114
22	3.507536727
23	3.442491162
24	3.380408321
25	3.32063099
26	3.26336985
27	3.20879642
28	3.156556512
29	3.107501402
30	3.059670384
31	3.014578341
32	2.970575044
33	2.929616019
34	2.890208955
35	2.852143506
36	2.815533443
37	2.780757447
38	2.748325023
39	2.717533299
40	2.687371195
41	2.658536845
42	2.63110998
43	2.604942129
44	2.579955099
45	2.556461648
46	2.534012047
47	2.512590312
48	2.492226455
49	2.473112327
50	2.454901193
51	2.437664641
52	2.421454483
53	2.405919359
54	2.39136689
55	2.377416384
56	2.363188243
57	2.350652456
58	2.338792687
59	2.327519843
60	2.316909744
61	2.3068814
62	2.297297511
63	2.288193844
64	2.279735811
65	2.27133216
66	2.263748498
67	2.256621054
68	2.249821656
69	2.243432986
70	2.237039399
71	2.230989747
72	2.22560813
73	2.219890898
74	2.214192077
75	2.209654555
76	2.205119719
77	2.201071971
78	2.1971902
79	2.193359073
80	2.189142589
81	2.185935761
82	2.182913267
83	2.178727207
84	2.176046311
85	2.173163939
86	2.170766703
87	2.168011369
88	2.165792055
89	2.163416634
90	2.161518145
91	2.159428993
92	2.156581246
93	2.154669698
94	2.153167543
95	2.151752791
96	2.150237782
97	2.148978543
98	2.146991284
99	2.14587568
100	2.143235034
101	2.141051655
102	2.138326376
103	2.136172141
104	2.13411511
105	2.133322239
106	2.131274248
107	2.130571832
108	2.129909267
109	2.129285488
110	2.126921916
111	2.126367631
112	2.12584582
113	2.125254518
114	2.124322618
115	2.123330143
116	2.121836636
117	2.117348924
118	2.115425148
119	2.1150725
120	2.114404179
121	2.109953525
122	2.109656417
123	2.103951976
124	2.101908884
125	2.098761679
126	2.098527475
127	2.098041369
128	2.097833127
129	2.097166992
130	2.096319915
131	2.096088381
132	2.095618096
133	2.092420918
134	2.092274947
135	2.092115648
136	2.09130976
137	2.087933924
138	2.087784865
139	2.08678644
140	2.0866829
141	2.086585446
142	2.086450925
143	2.085374889
144	2.085293279
145	2.083132012
146	2.082421699
147	2.082303236
148	2.081734529
149	2.081469167
150	2.080848224
151	2.080642649
152	2.079482737
