iter	Passed	Remaining
0	42	42648
1	65	32676
2	84	28247
3	93	23240
4	96	19257
5	102	16957
6	110	15627
7	125	15532
8	132	14636
9	139	13840
10	146	13196
11	150	12381
12	155	11772
13	159	11218
14	162	10691
15	166	10224
16	169	9827
17	173	9472
18	186	9608
19	192	9455
20	197	9225
21	203	9029
22	212	9021
23	217	8844
24	221	8625
25	225	8465
26	229	8261
27	232	8056
28	234	7866
29	245	7949
30	255	7973
31	268	8126
32	279	8189
33	289	8211
34	295	8150
35	307	8236
36	332	8655
37	341	8648
38	350	8647
39	354	8517
40	360	8424
41	371	8477
42	382	8510
43	389	8452
44	393	8357
45	396	8228
46	400	8114
47	404	8016
48	407	7901
49	410	7799
50	413	7691
51	416	7589
52	421	7527
53	429	7521
54	434	7459
55	442	7463
56	453	7496
57	462	7511
58	476	7602
59	489	7674
60	498	7666
61	518	7849
62	537	7999
63	560	8198
64	571	8222
65	598	8474
66	615	8571
67	657	9010
68	666	8987
69	677	9007
70	687	8991
71	696	8977
72	705	8958
73	723	9054
74	729	8996
75	741	9009
76	753	9027
77	773	9140
78	780	9101
79	786	9043
80	792	8993
81	797	8926
82	801	8860
83	808	8818
84	812	8746
85	823	8755
86	830	8711
87	853	8842
88	959	9817
89	1007	10188
90	1040	10393
91	1118	11037
92	1182	11532
93	1219	11756
94	1235	11771
95	1251	11784
96	1276	11886
97	1297	11940
98	1303	11866
99	1314	11826
100	1334	11880
101	1349	11877
102	1359	11840
103	1395	12019
104	1414	12055
105	1429	12052
106	1436	11991
107	1456	12027
108	1463	11959
109	1471	11905
110	1477	11830
111	1486	11783
112	1494	11729
113	1499	11651
114	1505	11588
115	1629	12419
116	1673	12631
117	1681	12571
118	1692	12533
119	1704	12502
120	1717	12473
121	1724	12409
122	1733	12362
123	1738	12281
124	1742	12194
125	1751	12148
126	1763	12121
127	1770	12061
128	1778	12009
129	1783	11938
130	1787	11857
131	1790	11773
132	1799	11728
133	1803	11658
134	1807	11583
135	1811	11511
136	1816	11439
137	1820	11369
138	1841	11404
139	1848	11357
140	1860	11334
141	1885	11395
142	1913	11469
143	1925	11447
144	1941	11450
145	1969	11519
146	2012	11677
147	2021	11638
148	2034	11617
149	2119	12012
150	2138	12022
151	2183	12181
152	2191	12129
153	2195	12059
154	2201	12002
155	2206	11938
156	2212	11882
157	2216	11813
158	2220	11745
159	2226	11688
160	2233	11638
161	2238	11581
162	2244	11524
163	2248	11461
164	2251	11395
165	2262	11367
166	2283	11391
167	2331	11545
168	2346	11538
169	2431	11872
170	2451	11883
171	2470	11893
172	2494	11924
173	2500	11868
174	2504	11804
175	2512	11762
176	2518	11709
177	2524	11656
178	2534	11625
179	2549	11616
180	2566	11614
181	2572	11564
182	2578	11510
183	2609	11570
184	2620	11542
185	2625	11491
186	2636	11462
187	2644	11424
188	2657	11405
189	2686	11452
190	2692	11403
191	2702	11374
192	2717	11363
193	2722	11312
194	2742	11321
195	2760	11321
196	2770	11293
197	2789	11299
198	2809	11307
199	2816	11267
200	2828	11242
201	2834	11196
202	2844	11167
203	2850	11122
204	2854	11070
205	2861	11028
206	2868	10989
207	2878	10958
208	2883	10914
209	2891	10878
210	2898	10838
211	2910	10819
212	2917	10780
213	2924	10742
214	2942	10741
215	2950	10709
216	2974	10732
217	2989	10722
218	3004	10716
219	3015	10692
220	3056	10775
221	3065	10742
222	3112	10845
223	3147	10904
224	3169	10915
225	3244	11112
226	3261	11107
227	3275	11091
228	3283	11055
229	3291	11020
230	3297	10978
231	3305	10941
232	3316	10918
233	3324	10883
234	3333	10851
235	3339	10811
236	3349	10781
237	3367	10781
238	3381	10767
239	3399	10763
240	3411	10744
241	3419	10710
242	3427	10677
243	3437	10649
244	3443	10612
245	3451	10579
246	3459	10545
247	3465	10507
248	3472	10474
249	3477	10433
250	3484	10397
251	3491	10365
252	3499	10332
253	3507	10300
254	3516	10274
255	3524	10243
256	3533	10214
257	3558	10234
258	3578	10238
259	3599	10244
260	3618	10245
261	3637	10245
262	3652	10234
263	3724	10384
264	3746	10390
265	3753	10356
266	3765	10336
267	3777	10318
268	3792	10304
269	3800	10274
270	3808	10243
271	3817	10218
272	3829	10196
273	3836	10165
274	3845	10137
275	3852	10106
276	3860	10077
277	3868	10048
278	3875	10016
279	3883	9986
280	3891	9956
281	3898	9926
282	3911	9909
283	3918	9880
284	3928	9856
285	3940	9837
286	3950	9813
287	3957	9784
288	3977	9785
289	3990	9769
290	4001	9748
291	4009	9721
292	4014	9687
293	4023	9661
294	4031	9635
295	4041	9613
296	4049	9585
297	4056	9555
298	4064	9529
299	4074	9507
300	4085	9487
301	4096	9467
302	4107	9449
303	4120	9434
304	4139	9432
305	4158	9431
306	4172	9417
307	4213	9466
308	4228	9456
309	4240	9438
310	4255	9427
311	4268	9412
312	4282	9400
313	4298	9390
314	4312	9378
315	4324	9360
316	4337	9344
317	4349	9328
318	4365	9319
319	4396	9343
320	4424	9358
321	4433	9334
322	4443	9313
323	4452	9289
324	4460	9264
325	4468	9238
326	4487	9236
327	4519	9258
328	4560	9301
329	4600	9339
330	4621	9340
331	4682	9420
332	4723	9461
333	4760	9492
334	4793	9514
335	4837	9560
336	4855	9553
337	4870	9539
338	4879	9514
339	4891	9495
340	4899	9468
341	4906	9440
342	4913	9410
343	4922	9386
344	4930	9360
345	4938	9334
346	4944	9304
347	4952	9278
348	4959	9251
349	4967	9224
350	4976	9200
351	4984	9175
352	4990	9147
353	4997	9119
354	5007	9098
355	5019	9079
356	5029	9058
357	5049	9054
358	5065	9044
359	5081	9033
360	5090	9010
361	5097	8984
362	5106	8960
363	5112	8932
364	5119	8907
365	5127	8882
366	5136	8858
367	5148	8841
368	5160	8824
369	5174	8810
370	5183	8788
371	5194	8769
372	5207	8753
373	5215	8729
374	5226	8710
375	5237	8691
376	5250	8675
377	5275	8680
378	5295	8676
379	5306	8658
380	5314	8634
381	5323	8611
382	5330	8587
383	5338	8563
384	5344	8537
385	5355	8518
386	5372	8509
387	5391	8503
388	5422	8517
389	5440	8510
390	5477	8531
391	5491	8516
392	5507	8507
393	5521	8491
394	5538	8483
395	5566	8490
396	5588	8487
397	5602	8473
398	5613	8455
399	5620	8431
400	5629	8409
401	5637	8385
402	5643	8359
403	5652	8338
404	5660	8316
405	5668	8293
406	5686	8285
407	5702	8274
408	5716	8260
409	5728	8243
410	5736	8220
411	5743	8197
412	5751	8175
413	5759	8152
414	5767	8130
415	5778	8111
416	5786	8089
417	5794	8067
418	5801	8045
419	5809	8022
420	5817	8000
421	5825	7978
422	5833	7956
423	5842	7936
424	5851	7916
425	5859	7894
426	5867	7873
427	5875	7851
428	5903	7857
429	5923	7852
430	5940	7841
431	5953	7827
432	5964	7810
433	5975	7792
434	5985	7773
435	5996	7756
436	6006	7738
437	6016	7719
438	6024	7698
439	6032	7678
440	6041	7657
441	6049	7636
442	6056	7615
443	6064	7594
444	6072	7573
445	6079	7552
446	6087	7531
447	6100	7517
448	6137	7531
449	6147	7513
450	6159	7497
451	6167	7477
452	6178	7460
453	6186	7439
454	6194	7420
455	6201	7398
456	6209	7377
457	6217	7357
458	6225	7337
459	6234	7318
460	6240	7296
461	6249	7277
462	6257	7257
463	6265	7237
464	6272	7217
465	6280	7197
466	6289	7178
467	6304	7166
468	6323	7159
469	6335	7144
470	6344	7125
471	6352	7106
472	6360	7086
473	6367	7066
474	6374	7046
475	6386	7030
476	6397	7014
477	6412	7003
478	6425	6988
479	6437	6973
480	6448	6957
481	6460	6942
482	6471	6926
483	6483	6912
484	6494	6895
485	6551	6928
486	6568	6919
487	6581	6904
488	6592	6889
489	6609	6878
490	6629	6872
491	6641	6857
492	6655	6844
493	6666	6828
494	6679	6814
495	6691	6798
496	6702	6783
497	6713	6767
498	6726	6753
499	6738	6738
500	6794	6766
501	6812	6758
502	6826	6745
503	6839	6730
504	6851	6715
505	6864	6701
506	6874	6684
507	6886	6669
508	6900	6656
509	6911	6640
